Date,Average temperature F ,HDD,CDD,Precipitation (Inches),Average daily MLP price,Humidity,Wind Speed (mph)
1-Jan-05,33,47,0,0.31,15.6,79,10.5
2-Jan-05,43.5,36.5,0,0.08,19.2,90.5,7
3-Jan-05,34,46,0,0.36,27.1,90.5,10.5
4-Jan-05,32.5,47.5,0,0.05,27.6,84,13.5
5-Jan-05,28.5,51.5,0,0.38,34.4,88,19
6-Jan-05,19.5,60.5,0,0.19,46.6,85,10
7-Jan-05,17.5,62.5,0,0,30.8,83,6.5
8-Jan-05,25.5,54.5,0,0,39.9,80,6
9-Jan-05,30,50,0,0,28.9,89.5,12
10-Jan-05,32,48,0,0,44.2,77,9
11-Jan-05,33,47,0,0.13,30.6,93.5,9.5
12-Jan-05,48,32,0,0.89,25,89,10.5
13-Jan-05,30.5,49.5,0,0.63,33.4,74.5,14.5
14-Jan-05,9.5,70.5,0,0,44,53.5,13.5
15-Jan-05,9.5,70.5,0,0,26.4,50.5,8.5
16-Jan-05,8.5,71.5,0,0,25.9,50,12
17-Jan-05,6.5,73.5,0,0,64.4,53.5,12
18-Jan-05,12,68,0,0.09,59.3,67,12
19-Jan-05,29,51,0,0,52.9,78,13
20-Jan-05,25.5,54.5,0,0.09,38.4,82.5,7.5
21-Jan-05,20.5,59.5,0,0.26,37.4,73.5,14.5
22-Jan-05,17,63,0,0.46,49.4,78.5,14.5
23-Jan-05,15.5,64.5,0,0,52.9,71,8
24-Jan-05,26,54,0,0,67.5,68,9
25-Jan-05,33,47,0,0,35.8,74,8
26-Jan-05,26,54,0,0.02,33.9,77.5,14.5
27-Jan-05,13,67,0,0.06,41.4,73.5,6
28-Jan-05,14.5,65.5,0,0,31.8,61,10
29-Jan-05,27.5,52.5,0,0,41.7,64,4.5
30-Jan-05,30,50,0,0,34.1,82,6.5
31-Jan-05,28,52,0,0,45.6,76,4.5
1-Feb-05,28,52,0,0,31.3,78,4.5
2-Feb-05,26,54,0,0,41.4,75,7
3-Feb-05,29.5,50.5,0,0,37.6,78,7.5
4-Feb-05,36,44,0,0,18.3,80,6
5-Feb-05,45.5,34.5,0,0,30.1,68,9
6-Feb-05,43,37,0,0.02,22.2,77,9
7-Feb-05,39,41,0,0.19,32.3,94.5,8.5
8-Feb-05,29,51,0,0,31.9,80.5,11.5
9-Feb-05,27.5,52.5,0,0.01,40,78.5,10.5
10-Feb-05,27,53,0,0,49.7,65,11
11-Feb-05,32.5,47.5,0,0.01,39.2,70.5,11
12-Feb-05,42,38,0,0,28.4,60.5,7.5
13-Feb-05,38,42,0,0.6,25.7,85,13.5
14-Feb-05,43,37,0,0.16,31.4,88,10.5
15-Feb-05,37.5,42.5,0,0.26,27.1,81.5,6
16-Feb-05,29.5,50.5,0,0,33.2,64,12.5
17-Feb-05,22,58,0,0,36.4,62,15
18-Feb-05,18.5,61.5,0,0,41.5,51,6.5
19-Feb-05,31.5,48.5,0,0,38,56,8.5
20-Feb-05,34,46,0,0.42,27.1,90,7.5
21-Feb-05,34.5,45.5,0,0,38.7,81,9
22-Feb-05,28.5,51.5,0,0,35.1,76,7.5
23-Feb-05,28,52,0,0,44.8,71,4.5
24-Feb-05,31.5,48.5,0,0,46.7,70.5,4.5
25-Feb-05,34,46,0,0,36.2,71.5,7
26-Feb-05,29,51,0,0,32.5,72.5,9.5
27-Feb-05,33,47,0,0.2,27.9,67.5,7
28-Feb-05,30.5,49.5,0,0.32,55,51.5,9
1-Mar-05,23,57,0,0,53.6,66,15
2-Mar-05,20,60,0,0,54.4,55,11.5
3-Mar-05,24,56,0,0,47.7,64.5,4.5
4-Mar-05,32,48,0,0.03,48.3,73.5,6
5-Mar-05,38,42,0,0,35.3,80.5,9.5
6-Mar-05,49.5,30.5,0,0,24,55.5,15.5
7-Mar-05,42,38,0,0.02,45,64,16
8-Mar-05,24,56,0,0,62.7,53,8
9-Mar-05,24,56,0,0,50.5,44.5,10
10-Mar-05,28.5,51.5,0,0.17,53.7,76,11.5
11-Mar-05,30,50,0,0.05,44.2,72.5,14.5
12-Mar-05,26,54,0,0,61.7,67,16
13-Mar-05,23,57,0,0,36.8,55,4.5
14-Mar-05,28.5,51.5,0,0,61.2,64,5
15-Mar-05,31,49,0,0,45.1,58.5,10.5
16-Mar-05,37,43,0,0,56.9,55.5,10.5
17-Mar-05,32,48,0,0.06,57.7,74,8.5
18-Mar-05,38.5,41.5,0,0.02,37.3,74.5,8
19-Mar-05,42,38,0,0.11,40.5,77,11.5
20-Mar-05,34,46,0,0,33.9,68.5,7.5
21-Mar-05,32,48,0,0,56.3,77,8.5
22-Mar-05,36.5,43.5,0,0.02,55,69,13.5
23-Mar-05,33.5,46.5,0,0.1,43.4,71.5,13
24-Mar-05,36,44,0,0.09,43.4,64.5,4.5
25-Mar-05,36,44,0,0.19,34.7,84.5,10
26-Mar-05,37,43,0,0,41.9,79.5,5
27-Mar-05,37.5,42.5,0,0,24.6,71,6.5
28-Mar-05,43.5,36.5,0,0,45.5,60,4.5
29-Mar-05,52,28,0,0,33.7,50,11
30-Mar-05,65.5,14.5,0,0.62,42.8,63,14.5
31-Mar-05,49,31,0,0,45.9,65,12.5
1-Apr-05,45,35,0,0.15,25.4,68,13
2-Apr-05,43,37,0,0.03,35.6,64.5,8.5
